model_name,audio_file,reference,hypothesis,locality,wer,cer,locality_correct,fuzzy_locality_match,partial_locality_match,latency_ms,audio_duration_s,rtf,condition,language,style,difficulty,error
assemblyai,bellandur_noisy_hindi_10.wav,"Bellandur mein ghar hai mera, night shift bhi chalega.",वैसे बेलंदूर में घर है। मेरा नाइट शिफ्ट भी मेरे लिए काम करेगा।,Bellandur,1.0,1.0,False,False,False,9801.544199988712,5.7,1.7195691578927563,noisy,hindi,normal,medium,
assemblyai,btm_layout_noisy_hindi_08.wav,"BTM Layout ke paas rehta hoon, bus se aa jaunga.",बीटीएम लेआउट के पास बस से आ जाऊंगा।,BTM Layout,1.0,1.0,False,False,False,9539.849599997979,5.34,1.7864886891381984,noisy,hindi,normal,medium,
assemblyai,byatarayanapura_quiet_hindi_11.wav,"Main Byatarayanapura mein rehta hoon, thoda door padta hai.","मैं बेहद तारा नयापुरा में रहता हूँ, थोड़ा दूर पड़ता है।",Byatarayanapura,1.0,1.0,False,False,False,11128.089699952397,8.46,1.3153770330912997,quiet,hindi,normal,hard,
assemblyai,doddanekundi_quiet_hindi_whispered_19.wav,"Doddanekundi mein rehta hoon, abhi dheere bol raha hoon.",गोदान कुर्दी में रहता हूँ। अभी धीरे बोल रहा हूँ।,Doddanekundi,1.0,1.0,False,False,False,9865.963299991563,5.88,1.6778849149645516,quiet,hindi,whispered,hard,
assemblyai,electronic_city_quiet_hinglish_04.wav,"Actually main Electronic City mein hoon, phase one ke aas paas.",ऐक्चवली मैं ना इलेक्ट्रॉनिक सिटी में लोकेटेड हूं फेज वन के पास।,Electronic City,1.0,1.0,False,False,False,10194.574900029693,6.54,1.5588035015335922,quiet,hinglish,normal,medium,
assemblyai,hebbal_quiet_hindi_rushed_17.wav,"Hebbal mein rehta hoon bhai, jaldi job chahiye.",एपल में रहता हूँ। भाई जल्दी जॉब चाहिए।,Hebbal,1.0,1.0,False,False,False,9441.2372999941,4.74,1.9918222151886287,quiet,hindi,rushed,easy,
assemblyai,hsr_layout_phone_hinglish_07.wav,"Mera location HSR Layout hai, interview online ho sakta hai kya?",हाँ हाँ मेरा लोकेशन एचएसआर लेआउट है इंटरव्यू ऑनलाइन हो सकता है क्या।,HSR Layout,1.0,1.0,False,False,False,10445.737900037784,6.48,1.6119965895120036,phone,hinglish,normal,medium,
assemblyai,indiranagar_quiet_hinglish_02.wav,"Mera area Indiranagar hai, metro ke paas hi rehta hoon.","मेरा एरिया इंदिरानगर है, मेट्रो के पास ही रहता हूँ।",Indiranagar,1.0,1.0,False,False,False,9282.030600006692,4.92,1.886591585367214,quiet,hinglish,normal,easy,
assemblyai,jayanagar_quiet_hindi_06.wav,"Main Jayanagar mein rehta hoon, morning shift chalega.","हेलो अरे भाई, मैं ना जयनगर रहता हूँ। मॉर्निंग शिफ्ट चलेगा।",Jayanagar,1.0,1.0,False,False,False,10265.943100035656,7.02,1.4623850569851362,quiet,hindi,normal,easy,
assemblyai,kadugondanahalli_noisy_hinglish_12.wav,"Kadugondanahalli side mera room hai, location thoda confusing hai.",का्डुवोर्डनलीसाइड मेरा घूमा लोकेशन थोड़ा कंक्लूजिंग।,Kadugondanahalli,1.0,1.0,False,False,False,25962.74089999497,6.54,3.9698380581032064,noisy,hinglish,normal,hard,
